"filename", "language", "vue", "TypeScript React", "TypeScript", "SCSS", "CSS", "XML", "comment", "blank", "total"
"d:\vscode\AdminTemplate-main-v1.2.6\src\App.vue", "vue", 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\vscode\AdminTemplate-main-v1.2.6\src\api\config.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 4, 8, 77
"d:\vscode\AdminTemplate-main-v1.2.6\src\api\login\index.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 3, 4, 28
"d:\vscode\AdminTemplate-main-v1.2.6\src\api\login\types\login.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\vscode\AdminTemplate-main-v1.2.6\src\api\request.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 8, 23
"d:\vscode\AdminTemplate-main-v1.2.6\src\api\table\index.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 4, 5, 38
"d:\vscode\AdminTemplate-main-v1.2.6\src\api\table\types\table.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 4, 5, 37
"d:\vscode\AdminTemplate-main-v1.2.6\src\assets\error-page\403.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vscode\AdminTemplate-main-v1.2.6\src\assets\error-page\404.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\Attachment\index.vue", "vue", 95, 0, 0, 0, 0, 0, 0, 6, 101
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\BasicInfo\index.vue", "vue", 92, 0, 0, 0, 0, 0, 0, 7, 99
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\InfoForPayment\index.vue", "vue", 67, 0, 0, 0, 0, 0, 0, 6, 73
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\Notify\NotifyList.vue", "vue", 54, 0, 0, 0, 0, 0, 0, 5, 59
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\Notify\data.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 4, 67
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\Notify\index.vue", "vue", 89, 0, 0, 0, 0, 0, 0, 7, 96
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\Payment\index.vue", "vue", 183, 0, 0, 0, 0, 0, 1, 6, 190
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\Reimbursement\index.vue", "vue", 176, 0, 0, 0, 0, 0, 2, 5, 183
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\Screenfull\index.vue", "vue", 82, 0, 0, 0, 0, 0, 4, 7, 93
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\SideNavigationBar\index.vue", "vue", 137, 0, 0, 0, 0, 0, 0, 10, 147
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\SvgIcon\index.vue", "vue", 24, 0, 0, 0, 0, 0, 0, 6, 30
"d:\vscode\AdminTemplate-main-v1.2.6\src\components\ThemeSwitch\index.vue", "vue", 28, 0, 0, 0, 0, 0, 0, 3, 31
"d:\vscode\AdminTemplate-main-v1.2.6\src\config\async-route.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 10, 3, 22
"d:\vscode\AdminTemplate-main-v1.2.6\src\config\layouts.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 12, 3, 42
"d:\vscode\AdminTemplate-main-v1.2.6\src\config\white-list.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 4, 5, 16
"d:\vscode\AdminTemplate-main-v1.2.6\src\constants\app-key.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 3, 3, 14
"d:\vscode\AdminTemplate-main-v1.2.6\src\constants\cache-key.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 1, 3, 15
"d:\vscode\AdminTemplate-main-v1.2.6\src\constants\selection.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 3, 17, 183
"d:\vscode\AdminTemplate-main-v1.2.6\src\directives\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"d:\vscode\AdminTemplate-main-v1.2.6\src\directives\permission\index.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 2, 2, 18
"d:\vscode\AdminTemplate-main-v1.2.6\src\hooks\data\file.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 6, 40
