Date : 2023-09-09 21:30:57
Directory : d:\vscode\AdminTemplate-main-v1.2.6\src
Total : 151 files,  11336 codes, 484 comments, 1082 blanks, all 12902 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| vue              |         52 |      8,015 |        126 |        584 |      8,725 |
| TypeScript       |         65 |      2,814 |        246 |        404 |      3,464 |
| SCSS             |         18 |        414 |         89 |         74 |        577 |
| CSS              |          2 |         59 |         23 |          5 |         87 |
| TypeScript React |          2 |         18 |          0 |          6 |         24 |
| XML              |         12 |         16 |          0 |          9 |         25 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        151 |     11,336 |        484 |      1,082 |     12,902 |
| . (Files)                                                                                 |          2 |         39 |          6 |          9 |         54 |
| api                                                                                       |          6 |        165 |         17 |         34 |        216 |
| api (Files)                                                                               |          2 |         80 |          4 |         16 |        100 |
| api\login                                                                                 |          2 |         28 |          5 |          8 |         41 |
| api\login (Files)                                                                         |          1 |         21 |          3 |          4 |         28 |
| api\login\types                                                                           |          1 |          7 |          2 |          4 |         13 |
| api\table                                                                                 |          2 |         57 |          8 |         10 |         75 |
| api\table (Files)                                                                         |          1 |         29 |          4 |          5 |         38 |
| api\table\types                                                                           |          1 |         28 |          4 |          5 |         37 |
| assets                                                                                    |          2 |          2 |          0 |          0 |          2 |
| assets\error-page                                                                         |          2 |          2 |          0 |          0 |          2 |
| components                                                                                |         12 |      1,090 |          7 |         72 |      1,169 |
| components\Attachment                                                                     |          1 |         95 |          0 |          6 |        101 |
| components\BasicInfo                                                                      |          1 |         92 |          0 |          7 |         99 |
| components\InfoForPayment                                                                 |          1 |         67 |          0 |          6 |         73 |
| components\Notify                                                                         |          3 |        206 |          0 |         16 |        222 |
| components\Payment                                                                        |          1 |        183 |          1 |          6 |        190 |
| components\Reimbursement                                                                  |          1 |        176 |          2 |          5 |        183 |
| components\Screenfull                                                                     |          1 |         82 |          4 |          7 |         93 |
| components\SideNavigationBar                                                              |          1 |        137 |          0 |         10 |        147 |
| components\SvgIcon                                                                        |          1 |         24 |          0 |          6 |         30 |
| components\ThemeSwitch                                                                    |          1 |         28 |          0 |          3 |         31 |
| config                                                                                    |          3 |         43 |         26 |         11 |         80 |
| constants                                                                                 |          3 |        182 |          7 |         23 |        212 |
| directives                                                                                |          2 |         19 |          3 |          4 |         26 |
| directives (Files)                                                                        |          1 |          5 |          1 |          2 |          8 |
| directives\permission                                                                     |          1 |         14 |          2 |          2 |         18 |
| hooks                                                                                     |         13 |        826 |         40 |         94 |        960 |
| hooks (Files)                                                                             |          7 |        344 |         29 |         60 |        433 |
| hooks\data                                                                                |          6 |        482 |         11 |         34 |        527 |
| icons                                                                                     |         11 |         20 |          0 |         11 |         31 |
| icons (Files)                                                                             |          1 |          6 |          0 |          2 |          8 |
| icons\svg                                                                                 |         10 |         14 |          0 |          9 |         23 |
| layouts                                                                                   |         19 |      1,576 |         36 |        197 |      1,809 |
| layouts (Files)                                                                           |          4 |        349 |         16 |         53 |        418 |
| layouts\components                                                                        |         14 |      1,187 |         12 |        136 |      1,335 |
| layouts\components (Files)                                                                |          2 |         43 |          0 |          8 |         51 |
| layouts\components\Breadcrumb                                                             |          1 |         65 |          0 |         11 |         76 |
| layouts\components\Hamburger                                                              |          1 |         29 |          0 |          7 |         36 |
| layouts\components\Logo                                                                   |          1 |         60 |          0 |          8 |         68 |
| layouts\components\NavigationBar                                                          |          1 |        118 |          3 |          8 |        129 |
| layouts\components\RightPanel                                                             |          1 |         32 |          8 |          6 |         46 |
| layouts\components\Settings                                                               |          2 |        166 |          0 |         21 |        187 |
| layouts\components\Sidebar                                                                |          3 |        278 |          0 |         31 |        309 |
| layouts\components\TagsView                                                               |          2 |        396 |          1 |         36 |        433 |
| layouts\hooks                                                                             |          1 |         40 |          8 |          8 |         56 |
| plugins                                                                                   |          4 |         69 |         17 |         10 |         96 |
| plugins (Files)                                                                           |          1 |          9 |          0 |          2 |         11 |
| plugins\element-plus                                                                      |          1 |          5 |          1 |          2 |          8 |
| plugins\element-plus-icon                                                                 |          1 |          7 |          1 |          2 |         10 |
| plugins\vxe-table                                                                         |          1 |         48 |         15 |          4 |         67 |
| router                                                                                    |          2 |        300 |         16 |         14 |        330 |
| service                                                                                   |          4 |        247 |          0 |         38 |        285 |
| store                                                                                     |          7 |        237 |         37 |         47 |        321 |
| store (Files)                                                                             |          1 |          3 |          0 |          3 |          6 |
| store\modules                                                                             |          6 |        234 |         37 |         44 |        315 |
| styles                                                                                    |         20 |        473 |        112 |         79 |        664 |
| styles (Files)                                                                            |          6 |        182 |         40 |         26 |        248 |
| styles\theme                                                                              |         14 |        291 |         72 |         53 |        416 |
| styles\theme (Files)                                                                      |          1 |          2 |          1 |          1 |          4 |
| styles\theme\core                                                                         |          7 |        142 |         29 |         29 |        200 |
| styles\theme\dark                                                                         |          2 |          9 |          8 |          3 |         20 |
| styles\theme\dark-blue                                                                    |          4 |        138 |         34 |         20 |        192 |
| types                                                                                     |          4 |        192 |          2 |         37 |        231 |
| types (Files)                                                                             |          1 |          0 |          0 |          7 |          7 |
| types\entity                                                                              |          3 |        192 |          2 |         30 |        224 |
| utils                                                                                     |         12 |        529 |         67 |         80 |        676 |
| utils (Files)                                                                             |         10 |        422 |         53 |         63 |        538 |
| utils\cache                                                                               |          2 |        107 |         14 |         17 |        138 |
| views                                                                                     |         25 |      5,327 |         91 |        322 |      5,740 |
| views\application                                                                         |          4 |        794 |          3 |         58 |        855 |
| views\applicationReview                                                                   |          3 |      2,153 |         79 |         97 |      2,329 |
| views\applicationReview\approver                                                          |          1 |        685 |         26 |         20 |        731 |
| views\applicationReview\fo                                                                |          1 |        685 |         26 |         26 |        737 |
| views\applicationReview\user                                                              |          1 |        783 |         27 |         51 |        861 |
| views\application\approver                                                                |          1 |        237 |          1 |         21 |        259 |
| views\application\fo                                                                      |          1 |        203 |          1 |         11 |        215 |
| views\application\shareLogic                                                              |          1 |         88 |          0 |         12 |        100 |
| views\application\user                                                                    |          1 |        266 |          1 |         14 |        281 |
| views\error-page                                                                          |          3 |         41 |          0 |          6 |         47 |
| views\error-page (Files)                                                                  |          2 |         18 |          0 |          4 |         22 |
| views\error-page\components                                                               |          1 |         23 |          0 |          2 |         25 |
| views\login                                                                               |          1 |        155 |          0 |          9 |        164 |
| views\redirect                                                                            |          1 |          9 |          0 |          4 |         13 |
| views\result                                                                              |          1 |         20 |          0 |          4 |         24 |
| views\table                                                                               |         10 |      1,882 |          9 |        129 |      2,020 |
| views\table\GoodOrService                                                                 |          5 |      1,101 |          3 |         89 |      1,193 |
| views\table\Stipend                                                                       |          1 |        231 |          1 |         13 |        245 |
| views\table\Trip                                                                          |          1 |        171 |          0 |         13 |        184 |
| views\table\vxe-table                                                                     |          3 |        379 |          5 |         14 |        398 |
| views\table\vxe-table (Files)                                                             |          1 |        361 |          5 |          8 |        374 |
| views\table\vxe-table\tsx                                                                 |          2 |         18 |          0 |          6 |         24 |
| views\timeline                                                                            |          1 |         66 |          0 |          6 |         72 |
| views\userInfo                                                                            |          1 |        207 |          0 |          9 |        216 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                  | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\vscode\AdminTemplate-main-v1.2.6\src\App.vue                                           | vue              |         16 |          0 |          5 |         21 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\api\config.ts                                     | TypeScript       |         65 |          4 |          8 |         77 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\api\login\index.ts                                | TypeScript       |         21 |          3 |          4 |         28 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\api\login\types\login.ts                          | TypeScript       |          7 |          2 |          4 |         13 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\api\request.ts                                    | TypeScript       |         15 |          0 |          8 |         23 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\api\table\index.ts                                | TypeScript       |         29 |          4 |          5 |         38 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\api\table\types\table.ts                          | TypeScript       |         28 |          4 |          5 |         37 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\assets\error-page\403.svg                         | XML              |          1 |          0 |          0 |          1 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\assets\error-page\404.svg                         | XML              |          1 |          0 |          0 |          1 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\components\Attachment\index.vue                   | vue              |         95 |          0 |          6 |        101 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\components\BasicInfo\index.vue                    | vue              |         92 |          0 |          7 |         99 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\components\InfoForPayment\index.vue               | vue              |         67 |          0 |          6 |         73 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\components\Notify\NotifyList.vue                  | vue              |         54 |          0 |          5 |         59 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\components\Notify\data.ts                         | TypeScript       |         63 |          0 |          4 |         67 |
| d:\vscode\AdminTemplate-main-v1.2.6\src\components\Notify\index.vue                       | vue              |         89 |          0 |          7 |         96 |
